"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber.x","notes","soma","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber.y","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"59",5812995298,243,342,342,1717,"Traced","Roughly traced",442713773,FALSE,"M_lvPNm35_R","M_lvPNm35","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm35",2.416,2,"57007","good","(117972.765, 60843.2625, 2092)","720575940612603072",NA,NA,NA,NA,"ASB",NA
"60",417199910,162,361,361,1586,"Traced","Roughly traced",389682828,FALSE,"M_lvPNm36_R","M_lvPNm36","AVM06","VP1l+ lvPN2 (Marin et al. Curr Biol 2020)",TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm36",2.105,2,"57216","good","(118830.22, 60774.71, 2130)","720575940612695488",NA,NA,NA,NA,"ASB",NA
"61",5812992942,178,314,314,1148,"Traced","Roughly traced",422447393,FALSE,"M_lvPNm37_R","M_lvPNm37","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm37",2.104,2,"5169854","good","(106341.79, 29019.025, 4637)","720575940618895169",NA,NA,NA,NA,"ASB",NA
"62",5901194250,185,251,251,1303,"Traced","Roughly traced",364834515,FALSE,"M_lvPNm37_R","M_lvPNm37","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm37",2.191,2,"57212","good","(117851.5, 61089.5, 2129)","720575940612214464",NA,NA,NA,NA,"ASB",NA
"63",5901194556,176,258,258,1310,"Traced","Roughly traced",405120614,FALSE,"M_lvPNm37_R","M_lvPNm37","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm37",2.116,2,"57171","good","(117864.5, 61389.5, 2118)","720575940623910693",NA,NA,NA,NA,"ASB",NA
"64",1504889437,177,254,254,1147,"Traced","Roughly traced",420250047,FALSE,"M_lvPNm38_R","M_lvPNm38","AVM06","VC5+ lvPN2 (Marin et al. Curr Biol 2020)",TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm38",2.077,2,"57015","good","(119554.025, 61280.65, 2171)","720575940615769757",NA,NA,NA,NA,"ASB",NA
"65",609924156,736,548,548,5750,"Traced","Roughly traced",1131879964,FALSE,"M_lvPNm39_R","M_lvPNm39","AVM06",NA,TRUE,"ALlv1","BAlp4","AVM06","M_lvPNm39",2.233,2,"177540","good","(119786.04, 62760.3625, 1849)","720575940625857352",NA,NA,NA,NA,"ASB",NA
"66",1732313117,265,435,435,1934,"Traced","Roughly traced",316044971,FALSE,"M_lvPNm40_R","M_lvPNm40","AVM06",NA,FALSE,"ALlv1","BAlp4","AVM06","M_lvPNm40",2.856,3,"57039","good","(119348.43, 62282.14, 1769)","720575940612650688",NA,NA,NA,NA,"ASB",NA
"67",697844568,140,372,372,1015,"Traced","Roughly traced",187325752,FALSE,"M_lvPNm40_R","M_lvPNm40","AVM06",NA,FALSE,"ALlv1","BAlp4","AVM06","M_lvPNm40",2.79,3,"57080","good","(118369.9, 62567.975, 1664)","720575940657837185",NA,NA,NA,NA,"ASB",NA
"68",1765415970,330,497,497,2848,"Traced","Roughly traced",354278606,FALSE,"M_lvPNm41_R","M_lvPNm41","AVM06",NA,FALSE,"ALlv1","BAlp4","AVM06","M_lvPNm41",2.472,3,"57047","good","(117584.1, 62372.7075, 1579)","720575940609565168",NA,NA,NA,NA,"ASB",NA
