"","bodyid","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"107",1322353714,"ALv1","BAla1","AVM04","M_vPNml66",2.805,3,"4954519","good","(117131.36, 61372.725, 2004)","720575940623039672",NA,NA,NA,NA,"ASB",NA
"108",5813071409,"ALv1","BAla1","AVM04","M_vPNml66",3.132,3,"3842493","good","(117579.075, 61117.6125, 2118)","720575940609218258",NA,NA,NA,NA,"ASB",NA
"109",761938645,"ALv1","BAla1","AVM04","M_vPNml67",2.286,2,"2992998","good","(115471.195, 61029.7225, 1970)","720575940647509625",NA,NA,NA,NA,"ASB",NA
"110",1037518512,"ALv1","BAla1","AVM04","M_vPNml67",2.302,2,"3903440","good","(115449.75, 60772.3625, 1988)","720575940625384465",NA,NA,NA,NA,"ASB",NA
"111",882353566,"ALv1","BAla1","AVM04","M_vPNml68",2.799,3,"583167","good","(112588.825, 60059.775, 1579)","720575940616301632",NA,NA,NA,NA,"ASB",NA
"112",542311358,"ALv1","BAla1","AVM04","M_vPNml69",2.871,3,"4662243",NA,NA,NA,NA,NA,NA,NA,"ASB",NA
"113",480927537,"ALv1","BAla1","AVM04","M_vPNml70",2.723,3,"6699444","good","(118878.675, 59787.29, 2077)","720575940621617546",NA,NA,NA,NA,"ASB",NA
"114",541632990,"ALv1","BAla1","AVM04","M_vPNml70",2.717,3,"3813351","good","(119113.3, 59847.27, 2054)","720575940618795246",NA,NA,NA,NA,"ASB",NA
"115",727855437,"ALv1","BAla1","AVM04","M_vPNml71",2.799,3,"1759551","good","(115619.805, 58567.915, 1680)","720575940609146574",NA,NA,NA,NA,"ASB",NA
"116",1415829574,"ALv1","BAla1","AVM04","M_vPNml72",2.388,2,"709943","good","(117772.07, 59913.985, 1955)","720575940620732696",NA,NA,NA,NA,"ASB",NA
"117",1570685257,"ALv1","BAla1","AVM04","M_vPNml72",2.541,2,"1722886","good","(116786.75, 59753.25, 1923)","720575940622447596",NA,NA,NA,NA,"ASB",NA
"118",5812996003,"ALv1","BAla1","AVM04","M_vPNml72",2.447,2,"4624378","good","(115781.25, 58277.765, 1656)","720575940631459283",NA,NA,NA,NA,"ASB",NA
"119",1701325725,"ALv1","BAla1","AVM04","M_vPNml73",2.734,3,"3813347","good","(117507, 57716.0125, 1584)","720575940627822647",NA,NA,NA,NA,"ASB",NA
"120",698526273,"ALv1","BAla1","AVM04","M_vPNml74",2.894,3,"3813451","good","(116014.25, 60809.7575, 1951)","720575940626317840",NA,NA,NA,NA,"ASB",NA
"121",729219639,"ALv1","BAla1","AVM04","M_vPNml74",3.08,3,"3813495","good","(116400.64, 60462.4225, 1909)","720575940624285028",NA,NA,NA,NA,"ASB",NA
"122",759922408,"ALv1","BAla1","AVM04","M_vPNml74",2.461,3,"3813487","good","(116615.9, 60990.8275, 2043)","720575940609962389",NA,NA,NA,NA,"ASB",NA
"123",760264077,"ALv1","BAla1","AVM04","M_vPNml74",3.073,3,"4632101","good","(116219.5, 60785, 1974)","720575940610042993",NA,NA,NA,NA,"ASB",NA
"124",5813054911,"ALv1","BAla1","AVM04","M_vPNml74",2.715,3,"3813483","good","(116008.75, 61238.0275, 1979)","720575940644800820",NA,NA,NA,NA,"ASB",NA
"125",1322353824,"ALv1","BAla1","AVM04","M_vPNml75",2.776,3,"2845576","good","(117496.095, 61141.39, 2127)","720575940625097274",NA,NA,NA,NA,"ASB",NA
"126",1539978151,"ALv1","BAla1","AVM04","M_vPNml76",2.593,3,"4491591","good","(114816.525, 58415.8325, 1646)","720575940611777587",NA,NA,NA,NA,"ASB",NA
"127",1570685132,"ALv1","BAla1","AVM04","M_vPNml76",2.854,3,"6698696","good","(118344.665, 60290.9175, 1644)","720575940620244556",NA,NA,NA,NA,"ASB",NA
"128",5813071369,"ALv1","BAla1","AVM04","M_vPNml76",2.71,3,"5485737","good","(116753.345, 59699.025, 1595)","720575940609214418",NA,NA,NA,NA,"ASB",NA
"129",604726283,"ALv1","BAla1","AVM04","M_vPNml77",2.927,3,"3813430","good","(117368.75, 61236.0075, 2140)","720575940612151603",NA,NA,NA,NA,"ASB",NA
"130",1322353841,"ALv1","BAla1","AVM04","M_vPNml77",2.931,3,"3959520","good","(117630, 61278.5425, 2115)","720575940628374011",NA,NA,NA,NA,"ASB",NA
"131",1447205712,"ALv1","BAla1","AVM04","M_vPNml77",2.934,3,"3020362","good","(118271.28, 60881.2625, 2142)","720575940632994970",NA,NA,NA,NA,"ASB",NA
"132",760250511,"ALv1","BAla1","AVM04","M_vPNml78",2.87,3,"6696675","good","(118842.25, 60197.25, 1721)","720575940631458515",NA,NA,NA,NA,"ASB",NA
"133",542665377,"ALv1","BAla1","AVM04","M_vPNml79",2.928,3,"4662243","good","(95424.22, 37475.255, 4422)","720575940625126789",NA,NA,NA,NA,"ASB",NA
"134",637462647,"ALv1","BAla1","AVM04","M_vPNml80",2.272,2,"4624325","good","(115649.875, 60640.875, 1960)","720575940620849176",NA,NA,NA,NA,"ASB",NA
"135",5813090752,"ALv1","BAla1","AVM04","M_vPNml81",2.811,3,"4624321","good","(115245.5, 61176.7775, 2016)","720575940632721306",NA,NA,NA,NA,"ASB",NA
"136",5813014622,"ALv1","BAla1","AVM04","M_vPNml82",2.829,3,"4624321",NA,NA,NA,NA,NA,NA,NA,"ASB",NA
"137",573669915,"ALv1","BAla1","AVM04","M_vPNml83",3.002,3,"3813335","good","(118476.75, 60946, 2147)","720575940624164926",NA,NA,NA,NA,"ASB",NA
"138",697145036,"ALv1","BAla1","AVM04","M_vPNml83",2.877,3,"1533901","good","(118102.25, 61029.2, 2141)","720575940620038170",NA,NA,NA,NA,"ASB",NA
"139",1447205602,"ALv1","BAla1","AVM04","M_vPNml83",2.92,3,"2050178","good","(118422.765, 61105.53, 2138)","720575940637352637",NA,NA,NA,NA,"ASB",NA
"140",605050789,"ALv1","BAla1","AVM04","M_vPNml84",2.791,3,"6702019","good","(115882.765, 60919.555, 1963)","720575940621112575",NA,NA,NA,NA,"ASB",NA
"141",729544359,"ALv1","BAla1","AVM04","M_vPNml84",3.034,3,"3813282","good","(115454.4, 60905.53, 1933)","720575940616682875",NA,NA,NA,NA,"ASB",NA
"142",760250272,"ALv1","BAla1","AVM04","M_vPNml84",2.901,3,"5217967","good","(110798.05, 68017.65, 1718)","720575940637731456",NA,NA,NA,NA,"ASB",NA
"143",791298858,"ALv1","BAla1","AVM04","M_vPNml84",3.046,3,"4632128","good","(115392.165, 61113.0825, 1989)","720575940602437088",NA,NA,NA,NA,"ASB",NA
"144",603349484,"ALv1","BAla1","AVM04","M_vPNml85",3.011,3,"4624362","good","(119223.5, 59769.52, 2072)","720575940633059947",NA,NA,NA,NA,"ASB",NA
