"","query","pre_id","weight","n","type","xyz"
"392","720575940643268206","720575940624171620",11,1,NA,NA
"393","720575940643268206","720575940646422393",11,1,"DM5_lPN","(118383.65, 57132.95, 1450)"
"394","720575940643268206","720575940652802721",11,1,"v2LN30","(115565.75, 61678.5, 1571)"
"395","720575940631539993","720575940607250630",11,1,NA,NA
"396","720575940631539993","720575940608297080",11,1,NA,NA
"397","720575940631539993","720575940612468330",11,1,NA,NA
"398","720575940631539993","720575940613852614",11,1,"V_ilPN","(136550.225, 76397.1875, 2816)"
"399","720575940631539993","720575940620028908",11,1,NA,NA
"400","720575940631539993","720575940625564676",11,1,NA,NA
"401","720575940631539993","720575940626810959",11,1,NA,NA
"402","720575940631539993","720575940628803655",11,1,NA,NA
"403","720575940631539993","720575940629208387",11,1,NA,NA
"404","720575940631539993","720575940636044193",11,1,NA,NA
"405","720575940643267950","720575940607215431",10,1,NA,NA
"406","720575940643267950","720575940611004414",10,1,NA,NA
"407","720575940643267950","720575940613723067",10,1,"VP1d+VP4_l2PN1","(117625.53, 62539.855, 2031)"
"408","720575940643267950","720575940614822953",10,1,NA,NA
"409","720575940643267950","720575940615096891",10,1,"M_spPN4t9","(120907, 62679.8, 2328)"
"410","720575940643267950","720575940615289181",10,1,NA,NA
"411","720575940643267950","720575940615852329",10,1,NA,NA
"412","720575940643267950","720575940617571105",10,1,NA,NA
"413","720575940643267950","720575940618342128",10,1,NA,NA
"414","720575940643267950","720575940619872664",10,1,NA,NA
"415","720575940643267950","720575940624080484",10,1,"VM2_adPN","(121561.39, 58766.9575, 1185)"
"416","720575940643267950","720575940626258182",10,1,NA,NA
"417","720575940643267950","720575940642914071",10,1,NA,NA
"418","720575940643267950","720575940646057345",10,1,NA,NA
"419","720575940643267950","720575940646753401",10,1,NA,NA
"420","720575940611933905","720575940594947056",10,1,NA,NA
"421","720575940611933905","720575940611702737",10,1,NA,NA
"422","720575940611933905","720575940612760605",10,1,NA,NA
"423","720575940611933905","720575940613565708",10,1,NA,NA
"424","720575940611933905","720575940614436155",10,1,NA,NA
"425","720575940611933905","720575940617665872",10,1,NA,NA
"426","720575940611933905","720575940619533355",10,1,NA,NA
"427","720575940611933905","720575940620588039",10,1,NA,NA
"428","720575940611933905","720575940625691560",10,1,NA,NA
"429","720575940611933905","720575940625830400",10,1,NA,NA
"430","720575940611933905","720575940628803655",10,1,NA,NA
"431","720575940611933905","720575940629206314",10,1,NA,NA
"432","720575940611933905","720575940631370741",10,1,NA,NA
"433","720575940611933905","720575940638184656",10,1,NA,NA
"434","720575940611933905","720575940656831873",10,1,NA,NA
"435","720575940643268206","720575940589523447",10,1,NA,NA
"436","720575940643268206","720575940607215431",10,1,NA,NA
"437","720575940643268206","720575940611102947",10,1,NA,NA
"438","720575940643268206","720575940612135138",10,1,NA,NA
"439","720575940643268206","720575940612483264",10,1,"VC3l_adPN","(109846.1175, 32185.6675, 4564)"
"440","720575940643268206","720575940612930889",10,1,NA,NA
"441","720575940643268206","720575940613284578",10,1,NA,NA
"442","720575940643268206","720575940614141725",10,1,"M_lvPNm24","(120004.1325, 62719.735, 2080)"
"443","720575940643268206","720575940616103753",10,1,NA,NA
"444","720575940643268206","720575940616976536",10,1,NA,NA
"445","720575940643268206","720575940617532275",10,1,NA,NA
"446","720575940643268206","720575940617992009",10,1,NA,NA
"447","720575940643268206","720575940618006345",10,1,NA,NA
"448","720575940643268206","720575940618687910",10,1,NA,NA
"449","720575940643268206","720575940621088355",10,1,"VA1d_adPN","(116923.32, 58483.8625, 1201)"
