"","query","post_id","weight","n","type","xyz"
"68","720575940616624182","720575940615815453",28,1,NA,NA
"69","720575940616624182","720575940616942494",28,1,"M_ilPNm90","(143601.5, 78817.7575, 3235)"
"70","720575940628000567","720575940625887484",27,1,NA,NA
"71","720575940628000567","720575940630652755",27,1,NA,NA
"72","720575940616624182","720575940616472118",27,1,NA,NA
"73","720575940628000567","720575940609218258",26,1,"M_vPNml66","(117579.075, 61117.6125, 2118)"
"74","720575940616624182","720575940615275293",26,1,NA,NA
"75","720575940616624182","720575940620072012",26,1,"LHAV1b2","(93859.65, 51934.2975, 3414)"
"76","720575940628000567","720575940639392200",25,1,NA,NA
"77","720575940628000567","720575940639730395",25,1,"LHPV2d1","(95389.9, 49879.87, 4638)"
"78","720575940628000567","720575940616472118",24,1,NA,NA
"79","720575940628000567","720575940625542929",24,1,"lLN2F_b","(115253.65, 57891.585, 1438)"
"80","720575940628000567","720575940634980720",24,1,"LHPV4e1","(97385.945, 32207.5175, 4605)"
"81","720575940616624182","720575940621925384",24,1,NA,NA
"82","720575940616624182","720575940639962497",24,1,NA,NA
"83","720575940628000567","720575940621203690",23,1,"LHAV1b4","(93549.07, 46519.9, 3620)"
"84","720575940628000567","720575940621205226",23,1,"LHAV1c1","(93248.725, 46011.7025, 3651)"
"85","720575940616624182","720575940614904669",23,1,"LHPV1c1","(109429.765, 35937.2425, 4330)"
"86","720575940616624182","720575940618062612",23,1,"LT53","(95216.0075, 47955.945, 4679)"
"87","720575940616624182","720575940630007948",23,1,"lLN2T_c","(113494.5, 57781.75, 1396)"
"88","720575940616624182","720575940630853092",23,1,NA,NA
"89","720575940616624182","720575940644439331",23,1,"mALB1_L","101141, 38759, 3833"
"90","720575940628000567","720575940623336080",21,1,NA,NA
"91","720575940628000567","720575940630853092",21,1,NA,NA
"92","720575940628000567","720575940633572463",21,1,"LHAV1a3","(93201.415, 48798.0425, 3510)"
"93","720575940616624182","720575940608646128",21,1,"LHPV2a1_c","(94138.47, 44419.59, 4415)"
"94","720575940616624182","720575940609218258",21,1,"M_vPNml66","(117579.075, 61117.6125, 2118)"
"95","720575940616624182","720575940615115835",21,1,"LHAV6g1","(100508.5, 33604, 3727)"
"96","720575940616624182","720575940615280601",21,1,NA,NA
"97","720575940616624182","720575940620572109",21,1,NA,NA
"98","720575940628000567","720575940630065768",20,1,"OA-VUMa2","(132230.5, 72240.75, 4239)"
